45,15
,
,35
,
!,5
,
,55
,
!,6
,
,
,
45,!
,
55
,
6,4
,
,6
,
6,75
,
7,!
,
75,45
,
,65
,
8,8
,
9,!
,
8,5
,
,7
,
75,85
,
7,!
,
6,45
,
,65
,
8,8
,
75,!
,
6,4
,
,6
,
8,75
,
75,!
,
6,45
,
,65
,
55,8
,
,!
,
6,5
,
,7
,
,85
,
,9
,
6,95
,
,
,
1,!
,
2
,
25,05
,
,25
,
,4
,
2,25
,
25,1
,
,3
,
3,45
,
2,3
,
25,15
,
,35
,
2,5
,
05,35
,
1,1
,
,3
,
1,45
,
2,3
,
25,05
,
,25
,
,4
,
2,25
,
25,1
,
35,3
,
3,45
,
2,3
,
1,15
,
,35
,
05,5
,
,35
,
0,5
,
,35
,
45+1
,
55+2,!
,
6+25,05
,
,25
,
,4
,
55+2,25
,
6+25,1
,
,3
,
65+3,45
,
55+2,3
,
6+25,15
,
,35
,
55+2,5
,
4+05,35
,
45+1,1
,
,3
,
45,45
,
4,3
,
25,05
,
,25
,
45,4
,
4,25
,
25,1
,
,3
,
2,45
,
,3
,
25,15
,
,35
,
,5
,
,55
,
25,6
,
,
,
45,!
,
55
,
6,05
,
,25
,
6,4
,
7,25
,
75,1
,
,3
,
8,45
,
9,3
,
8,15
,
,35
,
75,5
,
7,35
,
6,1
,
,3
,
8,45
,
75,3
,
6,05
,
,25
,
8,4
,
75,25
,
6,1
,
,3
,
55,45
,
,3
,
45,15
,
,35
,
,5
,
,55
,
45,6
,
,
,
45+1
,
55+2,!
,
6+25,05
,
,25
,
6+25,4
,
7+35,25
,
75+4,1
,
,3
,
8+45,45
,
9+55,3
,
8+45,15
,
,35
,
75+4,5
,
7+35,35
,
6+25,1
,
,3
,
8+45,45
,
75+4,3
,
6+25,05
,
,25
,
8+45,4
,
75+4,25
,
6+25,1
,
,3
,
55+2,45
,
,3
,
6+25,15
,
,35
,
,5
,
,55
,
6+25,6
,
,
,
45
,
55,!
,
6+35+25,4
,
,6
,
,75
,
55,6
,
6+35+25,45
,
,65
,
65,8
,
55,65
,
6,5
,
,7
,
55,85
,
4,7
,
45,45
,
,65
,
45,8
,
55,65
,
6+35+25,4
,
,6
,
,75
,
55,6
,
6,45
,
7,65
,
65,8
,
55,65
,
45,15
,
,35
,
4,5
,
,35
,
35,5
,
,35
,
45+1
,
55+2,!
,
6+25,05
,
,25
,
,4
,
55+2,25
,
6+25,1
,
,3
,
65+3,45
,
55+2,3
,
6+25,15
,
,35
,
55+2,5
,
05+4,35
,
45+1,1
,
,3
,
45,45
,
4,3
,
25,05
,
,25
,
45,4
,
4,25
,
25,1
,
,3
,
2,45
,
,3
,
25,15
,
,35
,
,5
,
,55
,
!,6
,
,
,
8+45,!
,
9+55
,
95+6,4
,
,6
,
,75
,
9+55,6
,
95+6,45
,
,65
,
10+65,8
,
9+55,65
,
////////////////////////////
6+25,5
,
,7
,
55+2,85
,
4+05,7
,
45+1,25
,
,65
,
45+1,8
,
55+2,65
,
6+25,4
,
,6
,
55+2,75
,
,6
,
6+25,45
,
7+35,65
,
65+3,8
,
55+2,65
,
45+1,5
,
,7
,
4+05,85
,
,7
,
0,85
,
,7
,
1
,
2,!
,
25,4
,
,6
,
,75
,
2,6
,
25,45
,
,65
,
3,8
,
2,65
,
25,5
,
,7
,
2,85
,
05,7
,
1,45
,
,65
,
1,8
,
05,65
,
/////////////////////////e
25,4
,
,6
,
45,75
,
4,6
,
25,45
,
,65
,
2,8
,
,65
,
25,15
,
,35
,
,5
,
,55
,
25,6
,
,
,
8
,
75,!
,
6,4
,
,6
,
8,75
,
75,!
,
6,45
,
,65
,
55,8
,
,!
,
6,3
,
,45
,
,5
,
,45
,
/////////////////st
!,65
,
,
,
8,!
,
75
,
/////////////
6,4
,
,6
,
8,75
,
75,6
,
6,45
,
,65
,
55,8
,
,65
,
6,15
,
,35
,
,5
,
,55
,
6,6
,
,
,
,
,
,!
,
